id,name,email,account_value,contract_end,monthly_active_days,support_tickets_30d,last_login_days_ago,feature_usage_score,notes
1,Acme Corp,contact@acme.com,125000,2026-06-30,22,2,3,85,"Highly engaged. Recently asked about enterprise features. Good expansion opportunity."
2,TechStart Inc,admin@techstart.io,45000,2026-02-15,8,7,12,35,"Low engagement last month. Multiple support tickets about performance issues. At risk."
3,Global Solutions,it@globalsol.com,250000,2026-12-31,28,1,1,92,"Excellent customer. Minimal support needs. Enthusiastic about product roadmap."
4,SmallBiz LLC,owner@smallbiz.net,12000,2026-03-20,15,4,5,58,"Moderate usage. Complained about pricing in last call. Watching closely."
5,MegaRetail,platform@megaretail.com,500000,2027-01-15,30,0,0,98,"Top tier customer. No issues. Expanding to 5 new departments next quarter."
6,StartupXYZ,dev@startupxyz.io,8000,2026-01-30,4,12,18,22,"CRITICAL: Contract ending soon. Very low engagement. Many unresolved tickets. High churn risk."
7,FinanceHub,ops@financehub.co,180000,2026-09-10,25,3,2,88,"Strong user. Occasional questions but generally self-sufficient. Renewal likely."
8,HealthTech Pro,support@healthtech.pro,95000,2026-04-05,12,8,8,42,"Moderate risk. Support load increasing. Mentioned evaluating alternatives."
9,EduPlatform,admin@eduplatform.edu,67000,2026-07-22,20,1,4,75,"Good engagement. One feature request outstanding. Generally satisfied."
10,MarketingGenius,hello@mktgenius.com,35000,2026-05-18,6,10,15,28,"High churn risk. Low activity. Too many support tickets. Need intervention call."
11,DevTools Co,eng@devtools.co,155000,2027-03-30,26,2,1,90,"Power users. Active in community. Great case study candidate."
12,RetailChain,it@retailchain.com,220000,2026-11-08,24,4,3,80,"Solid customer. Some integration challenges but working through them."
13,CloudFirst,admin@cloudfirst.net,42000,2026-02-28,9,9,10,38,"At risk. Low engagement + high support load. Contract renewal approaching."
14,DataCo,data@dataco.io,310000,2027-06-15,29,1,0,95,"Exceptional customer. Expanding usage. Referred two new customers."
15,QuickServe,ops@quickserve.com,28000,2026-03-15,11,6,9,48,"Moderate churn risk. Usage declining. Need to understand blockers."
